day,tx_count,sum_sent,sum_fees
2016-06-07,4293,282267.21826771,0.16655619
2016-06-08,5181,208095.72109055,0.68023732
2016-06-09,3908,948103.44842294,0.35477228
2016-06-10,8095,2231993.25463824,8.13284020
2016-06-11,2738,66476.80626817,0.12022680
2016-06-12,5266,266310.40267170,0.65650511
2016-06-13,5833,972378.19147555,1.76845076
2016-06-14,3255,118107.29768984,0.08355952
2016-06-15,7472,474187.60388134,4.07318367
2016-06-16,3484,524111.35047378,1.05531033
2016-06-17,5832,411613.42923294,0.32332692
2016-06-18,4559,400930.81730322,2.03277418
2016-06-19,4746,1406823.06496417,1.36024214
2016-06-20,3317,511274.81808581,0.11807769
2016-06-21,5704,353391.58467310,2.25123470
2016-06-22,7362,281004.47088756,4.05714623
2016-06-23,3120,81407.71496341,0.17735237
2016-06-24,4256,197485.39206019,1.24801757
2016-06-25,3538,376827.74611184,0.74202370
2016-06-26,6048,446878.05885546,14.94166952
2016-06-27,5160,317449.01699383,3.34429032
2016-06-28,3152,108921.95693049,0.17543709
2016-06-29,5524,238842.21288321,2.26526015
2016-06-30,6605,472939.65454490,1.46633996
2016-07-01,3007,100423.83188472,0.47889734
2016-07-02,7715,471833.70674126,0.85833198
2016-07-03,2990,156093.83999642,0.10793911
2016-07-04,5030,238839.79200979,1.07599367
2016-07-05,4601,609775.00456263,0.45965194
2016-07-06,4753,222590.95981153,0.33465400
2016-07-07,5310,246350.36520885,0.37871256
2016-07-08,3779,186090.26239610,0.62733133
2016-07-09,5372,254679.97233547,1.29550269
2016-07-10,7772,274483.33437490,2.04067400
2016-07-11,2940,99176.39545393,0.21718460
2016-07-12,6467,431821.83342250,1.40962213
2016-07-13,2493,84393.70376824,0.38637664
2016-07-14,5445,444341.90689552,1.51754489
2016-07-15,4714,574280.15065825,0.82435813
2016-07-16,5052,965715.79620095,1.04031485
2016-07-17,5610,450892.79659502,1.62348665
2016-07-18,3230,1435396.80426587,0.35893442
2016-07-19,7617,3094684.72604593,1.64440876
2016-07-20,3992,683972.19691172,0.33589514
2016-07-21,4621,1198493.75432828,1.08666770
2016-07-22,5503,578173.05798289,1.86131643
2016-07-23,3542,624808.25326133,0.13611202
2016-07-24,4562,184139.86763675,0.31018342
2016-07-25,4131,366415.46305358,0.51286521
2016-07-26,6392,663127.56657927,4.09178613
2016-07-27,4668,1740274.11257051,5.47442456
2016-07-28,7468,1159237.54517899,30.94315776
2016-07-29,3059,441141.91879713,2.34850027
2016-07-30,7150,468694.71635883,1.95356762
2016-07-31,2967,6469375.96379802,0.11019887
2016-08-01,6528,1414101.27703778,0.81239484
2016-08-02,3455,763925.84217328,0.36278995
2016-08-03,4728,996107.17923839,0.79610597
2016-08-04,2956,98278.15011137,0.29696505
2016-08-05,7998,309584.41557766,3.60857904
2016-08-06,2979,265888.17452648,0.08248212
2016-08-07,4463,181919.82151407,0.19859455
2016-08-08,4046,136766.23649674,0.24598934
2016-08-09,4476,150314.66989196,0.88303615
2016-08-10,4281,178874.98656951,0.29644918
2016-08-11,4341,856375.54797001,0.56256802
2016-08-12,4057,1617561.36153822,0.36207843
2016-08-13,6120,1801047.06455053,0.66770765
2016-08-14,7393,1036352.04751257,2.72281317
2016-08-15,2228,652036.50294251,0.14042831
2016-08-16,5017,463086.82214053,0.76470784
2016-08-17,3642,217587.89033857,0.41162112
2016-08-18,5030,179339.38867429,0.66868406
2016-08-19,4399,152691.05851764,0.39968316
2016-08-20,5334,552924.30247183,0.67573932
2016-08-21,4763,222721.78707155,0.39859510
2016-08-22,5959,491256.99468160,3.07634989
2016-08-23,2508,104455.89798232,0.17334004
2016-08-24,7490,400481.70950460,3.00882544
2016-08-25,3653,152809.64671548,0.12219235
2016-08-26,6201,352355.97586474,2.94110381
2016-08-27,4357,192796.61847865,0.46107034
2016-08-28,4320,187234.89348644,0.27790872
2016-08-29,5605,283079.04755455,0.72954761
2016-08-30,2835,91185.36972896,0.36174070
2016-08-31,4992,185307.21505186,0.25286129
2016-09-01,4214,153989.44292879,0.55853359
2016-09-02,3944,253715.37079607,0.52185238
2016-09-03,4488,214460.74699308,0.22364273
2016-09-04,6468,290302.33315675,1.73164355
2016-09-05,2333,81048.67713958,0.41325529
2016-09-06,5714,287117.97611267,1.80762005
2016-09-07,3992,216503.67156423,0.78003436
2016-09-08,7064,496609.77349945,0.93036192
2016-09-09,3422,108887.93350759,0.07516937
2016-09-10,8389,492116.56452184,7.03467106
2016-09-11,4628,180386.87980210,2.34923146
2016-09-12,3919,197280.75204052,0.92712123
2016-09-13,6052,234651.82307805,0.73443689
2016-09-14,2714,98384.36346984,0.06891332
2016-09-15,4499,182333.99413945,0.10583651
2016-09-16,3442,144896.60923330,0.34068729
2016-09-17,5490,239468.46097839,0.25301733
2016-09-18,8186,878915.78243551,5.10155619
2016-09-19,2630,243450.93415121,0.21385165
2016-09-20,5964,806965.09852161,0.90073778
2016-09-21,3960,251289.79330638,0.26989605
2016-09-22,3672,161595.12417491,0.45196291
2016-09-23,8109,631944.67895537,2.11782677
2016-09-24,2587,98495.03684118,0.03590798
2016-09-25,5885,351919.87448712,0.64835353
2016-09-26,3262,171598.71000762,0.05269966
2016-09-27,10317,2392726.12869688,6.59379934
2016-09-28,3612,117805.58714278,0.61747020
2016-09-29,8813,383936.54081391,2.38961130
2016-09-30,3124,105569.33490414,0.41679680
2016-10-01,4652,210811.89425892,0.70775049
2016-10-02,2874,111609.46117952,0.13904116
2016-10-03,7888,433989.23921111,2.95718618
2016-10-04,2525,98420.90273729,0.10354432
2016-10-05,4870,224406.10177269,0.93607028
2016-10-06,3539,139058.16961772,0.70787720
2016-10-07,9547,612851.79780732,11.82325696
2016-10-08,2919,86539.66356403,0.20508659
2016-10-09,10705,489479.46290320,4.94028387
2016-10-10,3174,149407.12598783,0.05565915
2016-10-11,5577,306185.08208910,0.29418909
2016-10-12,2778,146105.72100511,0.13117250
2016-10-13,8342,603459.71414935,7.66627335
2016-10-14,2505,125382.73316998,0.04174087
2016-10-15,4419,190578.52350752,0.98704662
2016-10-16,5050,311708.56267542,0.96696799
2016-10-17,8329,540012.39282238,20.34337533
2016-10-18,3696,190977.87949492,8.14817293
2016-10-19,5143,278305.80619557,7.34923760
2016-10-20,2508,107391.94390958,0.13281895
2016-10-21,7809,435377.20904834,1.90341904
2016-10-22,2615,117841.43894858,0.11341371
2016-10-23,4602,208302.32353684,0.84321513
2016-10-24,8712,495181.64892697,8.76375554
2016-10-25,3793,162152.25494822,2.06049173
