day,netfund_reward
2016-09-09,881.68947720
2016-09-10,728.62230974
2016-09-11,917.27335730
2016-09-12,680.04748904
2016-09-13,829.16089202
2016-09-14,741.04842666
2016-09-15,784.53983588
2016-09-16,797.53077628
2016-09-17,885.07841814
2016-09-18,797.53077620
2016-09-19,776.63230686
2016-09-20,696.99219398
2016-09-21,852.88347880
2016-09-22,830.29053894
2016-09-23,792.44736478
2016-09-24,763.07654302
2016-09-25,809.39206968
2016-09-26,815.60512816
2016-09-27,789.05842384
2016-09-28,782.28054182
2016-09-29,816.46634387
2016-09-30,813.12214139
2016-10-01,753.28440469
2016-10-02,781.24596394
2016-10-03,765.58749079
2016-10-04,776.77211450
2016-10-05,796.90443711
2016-10-06,858.41986718
2016-10-07,688.41358736
2016-10-08,913.22452331
2016-10-09,707.98667885
2016-10-10,825.98445867
2016-10-11,763.90979724
2016-10-12,862.89371679
2016-10-13,706.86821647
2016-10-14,814.79983501
2016-10-15,772.29826492
2016-10-16,818.15522200
2016-10-17,791.31212517
2016-10-18,807.52982923
2016-10-19,743.21824314
2016-10-20,693.90623445
2016-10-21,874.83690218
2016-10-22,730.87639929
2016-10-23,755.23894595
2016-10-24,791.22907170
2016-10-25,806.17881620
2016-10-26,855.45760374
2016-10-27,710.94340659
2016-10-28,755.79264021
2016-10-29,797.31970830
2016-10-30,753.02416897
2016-10-31,777.94040983
2016-11-01,745.27244948
2016-11-02,781.26257524
2016-11-03,728.66162235
2016-11-04,808.39359316
2016-11-05,887.57186981
2016-11-06,740.28920147
2016-11-07,700.42321602
2016-11-08,850.47435553
2016-11-09,748.59461500
2016-11-10,761.88327680
2016-11-11,802.87309614
2016-11-12,862.33766476
2016-11-13,644.69745312
2016-11-14,844.24666480
2016-11-15,729.67033172
2016-11-16,747.76133168
2016-11-17,813.54678608
2016-11-18,783.94333160
2016-11-19,760.91842256
2016-11-20,845.89130116
2016-11-21,627.70287740
2016-11-22,760.91842256
2016-11-23,796.00399824
2016-11-24,796.00399824
