day,avg_block_voters,avg_block_poolsize,avg_block_difficulty,avg_hashrate
2017-06-21,5,43756,8150101.49517545,116681.39793620
2017-06-22,5,43840,8888542.06862438,127253.32497954
2017-06-23,5,43822,8307663.01325442,118937.13649372
2017-06-24,5,43968,9129393.93757585,130701.49464730
2017-06-25,5,43780,9353398.61941709,133908.47058949
2017-06-26,5,43954,8763100.32250689,125457.43098911
2017-06-27,5,43856,8994909.98375249,128776.14736894
2017-06-28,5,43959,8746548.03789998,125220.45925224
2017-06-29,5,43844,9153533.49887690,131047.09006839
2017-06-30,5,44117,10010726.75724620,143319.14677188
2017-07-01,5,43795,10888429.82911330,155884.83340278
2017-07-02,5,44081,10043408.63853930,143787.03880963
2017-07-03,5,43943,9212980.74541663,131898.17000081
2017-07-04,5,43946,10952059.84375020,156795.79617581
2017-07-05,5,43353,10656069.05843730,152558.22703302
2017-07-06,5,42904,10225808.20198040,146398.37267558
2017-07-07,5,42640,10946992.62463470,156723.25104120
2017-07-08,5,42380,11176946.24342180,160015.39528215
2017-07-09,5,42238,11047787.37064180,158166.28483356
2017-07-10,5,42015,11183442.28605570,160108.39625104
2017-07-11,5,41704,11912542.85336220,170546.60655797
2017-07-12,5,41589,11972654.69917920,171407.20126425
