Timestamp,difficulty
2010-05-19 00:00:00,12.8491831478238
2010-05-22 00:00:00,11.8462281497047
2010-05-25 00:00:00,11.8462281497047
2010-05-28 00:00:00,11.8462281497047
2010-05-31 00:00:00,16.6190787518574
2010-06-03 00:00:00,16.6190787518574
2010-06-06 00:00:00,16.6190787518574
2010-06-09 00:00:00,16.6190787518574
2010-06-12 00:00:00,17.3814881581401
2010-06-15 00:00:00,17.3814881581401
2010-06-18 00:00:00,17.3814881581401
2010-06-21 00:00:00,17.3814881581401
2010-06-24 00:00:00,19.4047963283822
2010-06-27 00:00:00,19.4047963283822
2010-06-30 00:00:00,19.4047963283822
2010-07-03 00:00:00,19.4047963283822
2010-07-06 00:00:00,23.5012572229032
2010-07-09 00:00:00,23.5012572229032
2010-07-12 00:00:00,23.5012572229032
2010-07-15 00:00:00,45.3858223410126
2010-07-18 00:00:00,181.543289364051
2010-07-21 00:00:00,181.543289364051
2010-07-24 00:00:00,181.543289364051
2010-07-27 00:00:00,244.213223092375
2010-07-30 00:00:00,244.213223092375
2010-08-02 00:00:00,244.213223092375
2010-08-05 00:00:00,244.213223092375
2010-08-08 00:00:00,352.16120906801
2010-08-11 00:00:00,352.16120906801
2010-08-14 00:00:00,352.16120906801
2010-08-17 00:00:00,511.773534256604
2010-08-20 00:00:00,511.773534256604
2010-08-23 00:00:00,511.773534256604
2010-08-26 00:00:00,511.773534256604
2010-08-29 00:00:00,623.386959868928
2010-09-01 00:00:00,623.386959868928
2010-09-04 00:00:00,623.386959868928
2010-09-07 00:00:00,623.386959868928
2010-09-10 00:00:00,712.884864552097
2010-09-13 00:00:00,712.884864552097
2010-09-16 00:00:00,712.884864552097
2010-09-19 00:00:00,917.830741301512
2010-09-22 00:00:00,917.830741301512
2010-09-25 00:00:00,917.830741301512
2010-09-28 00:00:00,917.830741301512
2010-10-01 00:00:00,1318.67005015359
2010-10-04 00:00:00,1318.67005015359
2010-10-07 00:00:00,1318.67005015359
2010-10-10 00:00:00,1318.67005015359
2010-10-13 00:00:00,1378.02816503733
2010-10-16 00:00:00,1378.02816503733
2010-10-19 00:00:00,1378.02816503733
2010-10-22 00:00:00,2149.02181494673
2010-10-25 00:00:00,2149.02181494673
2010-10-28 00:00:00,2149.02181494673
2010-10-31 00:00:00,3091.7368904118
2010-11-02 23:00:00,3091.7368904118
2010-11-05 23:00:00,3091.7368904118
2010-11-08 23:00:00,4536.35372327504
2010-11-11 23:00:00,4536.35372327504
2010-11-14 23:00:00,4536.35372327504
2010-11-17 23:00:00,4536.35372327504
2010-11-20 23:00:00,6866.89864897274
2010-11-23 23:00:00,6866.89864897274
2010-11-26 23:00:00,6866.89864897274
2010-11-29 23:00:00,8078.19525792509
2010-12-02 23:00:00,8078.19525792509
2010-12-05 23:00:00,8078.19525792509
2010-12-08 23:00:00,8078.19525792509
2010-12-11 23:00:00,12251.9997603745
2010-12-14 23:00:00,12251.9997603745
2010-12-17 23:00:00,12251.9997603745
2010-12-20 23:00:00,12251.9997603745
2010-12-23 23:00:00,14484.1623612254
2010-12-26 23:00:00,14484.1623612254
2010-12-29 23:00:00,14484.1623612254
2011-01-01 23:00:00,14484.1623612254
2011-01-04 23:00:00,16307.420938524
2011-01-07 23:00:00,16307.420938524
2011-01-10 23:00:00,16307.420938524
