day,avg_price,avg_pool,avg_pool_dcr
2016-06-07,26.49093555,42218,730630.44934334
2016-06-08,21.04648758,41951,735183.00062305
2016-06-09,23.22332676,41927,741034.39661654
2016-06-10,19.63531899,41796,745407.63147793
2016-06-11,44.39675422,42968,772462.38686131
2016-06-12,26.68360921,42290,763228.48433420
2016-06-13,22.61923216,41801,759574.23998239
2016-06-14,44.22784152,43157,802217.62445415
2016-06-15,18.39735966,42141,789271.66354760
2016-06-16,19.32004643,42005,792182.11219512
2016-06-17,29.35343857,42701,805092.60774516
2016-06-18,25.93744428,42282,811016.96692776
2016-06-19,23.54115721,42105,812197.82263191
2016-06-20,33.95556927,42532,831438.16533333
2016-06-21,23.66600811,42032,825761.56944444
2016-06-22,20.20573035,42156,842631.48437500
2016-06-23,37.00990866,42559,852152.75117371
2016-06-24,29.22352835,42428,850610.84304636
2016-06-25,31.88487886,42025,852620.31007752
2016-06-26,23.70478747,41944,860025.11923688
2016-06-27,26.65784107,42094,873209.25371604
2016-06-28,35.86503337,42062,882140.71460177
2016-06-29,26.94730089,41886,884732.34241020
2016-06-30,23.14198613,41536,887360.60843882
2016-07-01,44.56277990,42184,909261.86816720
2016-07-02,22.12957480,41595,903448.05599144
2016-07-03,46.00345561,42185,921571.53869969
2016-07-04,29.01585490,41777,915750.76104418
2016-07-05,26.81080315,41445,921025.01693667
2016-07-06,26.41891630,41294,922932.28841608
2016-07-07,25.69100406,41425,933267.67549669
2016-07-08,27.58364869,41282,935383.15368196
2016-07-09,25.06874312,41200,936663.08138101
2016-07-10,18.69158038,41333,945578.57851522
2016-07-11,43.03340374,42084,955114.60160428
2016-07-12,23.08140478,41676,947364.67727063
2016-07-13,37.37991621,41696,953473.84615385
2016-07-14,26.37869609,41772,956211.01572739
2016-07-15,24.99381400,41411,954796.12020649
2016-07-16,24.78096065,41193,954009.05426357
2016-07-17,23.78897846,41148,956240.90134298
2016-07-18,32.11191861,41151,958670.55250000
2016-07-19,16.75235485,41304,964507.84702647
2016-07-20,27.48550810,42360,971034.74055416
2016-07-21,25.70516195,41612,955660.19292158
2016-07-22,25.11907718,41485,957664.80362812
2016-07-23,34.11495910,41840,970907.59479016
2016-07-24,27.07770281,41479,966329.23703704
2016-07-25,25.52411508,41236,967733.00460123
2016-07-26,19.78234193,41360,975158.46744309
2016-07-27,19.91870009,41194,972622.05466013
2016-07-28,19.52507250,41794,975459.03786105
2016-07-29,25.64726343,41598,970862.01815182
2016-07-30,26.12369119,42106,973888.19669488
2016-07-31,42.88117287,42358,986662.42993631
2016-08-01,24.36378498,41938,982114.69634100
2016-08-02,24.74344409,41682,979465.97327707
2016-08-03,31.72376440,42519,1001061.38074534
2016-08-04,33.35445420,42119,1001664.15904573
2016-08-05,20.33246394,41881,1001659.06719504
2016-08-06,41.34460831,43016,1022131.36180905
2016-08-07,27.72630824,42315,1006641.46823697
2016-08-08,29.17303336,42076,1010265.47168348
2016-08-09,27.85198030,41694,1007216.10158311
2016-08-10,28.50018521,41635,1011347.62563238
2016-08-11,27.49515976,41427,1010768.02546816
2016-08-12,28.22273995,41424,1014890.79237288
